Exp or Imp,Year,Commodity,Unit,Quantity-Year,Value-Year,Quantity-Jan,Value-Jan,Quantity-Feb,Value-Feb,Quantity-Mar,Value-Mar,Quantity-Apr,Value-Apr,Quantity-May,Value-May,Quantity-Jun,Value-Jun,Quantity-Jul,Value-Jul,Quantity-Aug,Value-Aug,Quantity-Sep,Value-Sep,Quantity-Oct,Value-Oct,Quantity-Nov,Value-Nov,Quantity-Dec,Value-Dec
2,2023,'0       ',  ,0,1185351382,0,626234931,0,559116451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'001     ',NO,443719823,4853184,202533402,2395439,241186421,2457745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'00103   ',NO,580,3236943,253,2017165,327,1219778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'003     ',MT,425531,258536912,217456,135716298,208075,122820614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'00301   ',MT,77904,58350435,39914,31281259,37990,27069176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'00303   ',MT,2450,2888761,1275,1515249,1175,1373512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'00305   ',MT,146230,88428046,74909,45765049,71321,42662997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0030501 ',MT,146230,88428046,74909,45765049,71321,42662997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'00307   ',MT,91476,28696349,44361,14613803,47115,14082546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'00309   ',KG,696409,754451,493054,512803,203355,241648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'005     ',MT,51713,36856311,25479,18119362,26234,18736949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'00501   ',MT,12160,5680896,6063,2748342,6097,2932554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0050101 ',MT,1094,590280,410,225381,684,364899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
